trial_number,trial_id,phase,stage,hypothesis,status,config_hash,metrics_json,timestamp_utc
858,v7-0858-151a811644,first_line,A,exact_v6_control,CONTROL,151a8116447872422fcf7083440811488fbc42cd470f2a3db81d1139461d7f73,"{""evaluation"": {""annualized_return"": 1.335734525122886, ""calmar"": 21.04122584634329, ""cvar_95"": -0.015609436139643707, ""expectancy"": 0.001209261368962517, ""funding_return"": -0.0011659345650585186, ""long_trades"": 1894, ""max_drawdown"": 0.06348178261462939, ""net_return"": 0.38939964890389733, ""profit_factor"": 1.4580372556689456, ""sharpe"": 3.3661305802444272, ""short_trades"": 2385, ""sortino"": 4.739164118971026, ""trade_count"": 3500, ""transaction_cost"": 0.03758207075400853, ""turnover"": 75.16414150801705, ""var_95"": -0.01066614650571592, ""volatility"": 0.2622479367031973, ""win_rate"": 0.4840989399293286, ""worst_period"": -0.024625470440135046}, ""selection"": {""annualized_return"": 0.11331445919446592, ""calmar"": 1.1976635785402554, ""cvar_95"": -0.005283575135376264, ""expectancy"": 0.0001553203875630594, ""funding_return"": -0.0021415389646385215, ""long_trades"": 5036, ""max_drawdown"": 0.09461292906024298, ""net_return"": 0.10175184054342257, ""profit_factor"": 1.2640085491182695, ""sharpe"": 1.0099918076240655, ""short_trades"": 4918, ""sortino"": 1.9517999083556095, ""trade_count"": 7013, ""transaction_cost"": 0.04010308332793522, ""turnover"": 80.20616665587043, ""var_95"": -0.002384226499230333, ""volatility"": 0.11226218080695223, ""win_rate"": 0.511380880121396, ""worst_period"": -0.018109335352247655}}",2026-08-11T08:03:23.079227+00:00
859,v7-0859-8f0a4fd4bc,first_line,H1,H1_qh_conflict_veto,REJECTED_PRECHECK_DATA_LIMITATION,8f0a4fd4bc27ff802ed7e367ff22da70c482903972fce5b721bdd893ceaff980,"{""failure"": ""insufficient_qh_selection_coverage"", ""selection_qh_coverage"": 0.0}",2026-08-11T08:03:23.132672+00:00
860,v7-0860-27f75b556f,first_line,H2,H2_high_dispersion_gate,REJECTED_INNER,27f75b556f48009aefebd17cdbd9c91011c482174f757b167f002e397502a4d0,"{""cost20_net"": 0.29267759779418223, ""delay1h_net"": 0.30620548711243045, ""evaluation"": {""annualized_return"": 1.124150638152249, ""calmar"": 16.41284816331779, ""cvar_95"": -0.01475386219050938, ""expectancy"": 0.001073297483057908, ""funding_return"": -0.0011504854398497375, ""long_trades"": 1894, ""max_drawdown"": 0.06849211221393561, ""net_return"": 0.3391842512796368, ""profit_factor"": 1.4195596510153694, ""sharpe"": 3.1934827239764223, ""short_trades"": 2385, ""sortino"": 4.398890919719932, ""trade_count"": 3896, ""transaction_cost"": 0.03536335473882965, ""turnover"": 70.7267094776593, ""var_95"": -0.010638048412349504, ""volatility"": 0.24534567127912155, ""win_rate"": 0.4876325088339223, ""worst_period"": -0.019901758468991823}, ""failures"": [""evaluation_net_not_improved"", ""material_sharpe_damage"", ""wrong_side_not_reduced"", ""insufficient_multi_fold_support""], ""fold_count"": 1, ""fold_positive_count"": 0, ""selection"": {""annualized_return"": 0.06843699873449505, ""calmar"": 0.7775069235932197, ""cvar_95"": -0.004804379870696344, ""expectancy"": 9.423599559884349e-05, ""funding_return"": -0.002616838194504413, ""long_trades"": 5036, ""max_drawdown"": 0.08802107950140942, ""net_return"": 0.061580154286170474, ""profit_factor"": 1.1716922713381945, ""sharpe"": 0.9489618220791386, ""short_trades"": 4918, ""sortino"": 1.2458048826645254, ""trade_count"": 8066, ""transaction_cost"": 0.037666463768592236, ""turnover"": 75.33292753718447, ""var_95"": -0.002158325206610199, ""volatility"": 0.07249214371599748, ""win_rate"": 0.5174506828528073, ""worst_period"": -0.018084654548079778}, ""wrong_side_delta"": 184}",2026-08-11T08:03:28.183548+00:00
861,v7-0861-f2c98e7b03,first_line,H3,H3_weak_edge_veto,REJECTED_INNER,f2c98e7b0304b9dacdf3c0dbf3a70fcc93647db9397634fd3e8a7d493e2132a4,"{""cost20_net"": 0.30723721993689534, ""delay1h_net"": 0.3182203747715706, ""evaluation"": {""annualized_return"": 1.1928542572111591, ""calmar"": 16.990107500483937, ""cvar_95"": -0.01575367594364884, ""expectancy"": 0.0011228199105056593, ""funding_return"": -0.0011218922191536017, ""long_trades"": 1851, ""max_drawdown"": 0.07020875278023889, ""net_return"": 0.35581263642992256, ""profit_factor"": 1.4190826730829988, ""sharpe"": 3.1214133315241526, ""short_trades"": 2338, ""sortino"": 4.277230336287552, ""trade_count"": 3760, ""transaction_cost"": 0.036503704200829386, ""turnover"": 73.00740840165878, ""var_95"": -0.011583332811657349, ""volatility"": 0.26259211697186574, ""win_rate"": 0.49823321554770317, ""worst_period"": -0.024646679885208463}, ""failures"": [""evaluation_net_not_improved"", ""material_sharpe_damage"", ""wrong_side_not_reduced"", ""insufficient_multi_fold_support""], ""fold_count"": 1, ""fold_positive_count"": 0, ""selection"": {""annualized_return"": 0.11572578964779989, ""calmar"": 1.2190244980663618, ""cvar_95"": -0.0054552295300699435, ""expectancy"": 0.0001592344785844809, ""funding_return"": -0.0022185860003918344, ""long_trades"": 4928, ""max_drawdown"": 0.09493311236268523, ""net_return"": 0.10390580985290643, ""profit_factor"": 1.260930566785064, ""sharpe"": 0.9785976047151408, ""short_trades"": 4616, ""sortino"": 1.9521108385061858, ""trade_count"": 8708, ""transaction_cost"": 0.038372447084975045, ""turnover"": 76.74489416995007, ""var_95"": -0.00259344965415015, ""volatility"": 0.11878341905456392, ""win_rate"": 0.5068285280728376, ""worst_period"": -0.018109349916269564}, ""wrong_side_delta"": 77}",2026-08-11T08:03:33.074731+00:00
862,v7-0862-145a933735,first_line,A,exact_v6_control_foldwise,CONTROL_CORRECTED_METHODOLOGY,145a9337352a31f831e0de92228dfea4b4f3c39ef90d00f7fd69d9349ee8c6a8,"{""evaluation"": {""annualized_return"": -0.08790945150691765, ""calmar"": -1.2738615968768157, ""cvar_95"": -0.009702821624875641, ""expectancy"": -0.00011609249634019842, ""funding_return"": -0.0004161617517901389, ""long_trades"": 2149, ""max_drawdown"": 0.06901020622840758, ""net_return"": -0.03528644702102568, ""profit_factor"": 0.9092003438570667, ""sharpe"": -0.6998735460929627, ""short_trades"": 2162, ""sortino"": -0.8160069725654113, ""trade_count"": 3235, ""transaction_cost"": 0.025255265267191608, ""turnover"": 50.510530534383214, ""var_95"": -0.007215293913964101, ""volatility"": 0.12108976371724157, ""win_rate"": 0.4666666666666667, ""worst_period"": -0.014122552677594897}, ""selection"": {""annualized_return"": 0.669191607399189, ""calmar"": 8.434972290869034, ""cvar_95"": -0.011443612102473733, ""expectancy"": 0.0007261411375269852, ""funding_return"": -0.002891311777906902, ""long_trades"": 4781, ""max_drawdown"": 0.07933536522978239, ""net_return"": 0.5858261433463126, ""profit_factor"": 1.618899862049364, ""sharpe"": 2.7956097636825783, ""short_trades"": 5141, ""sortino"": 4.426450884068075, ""trade_count"": 7338, ""transaction_cost"": 0.053018625736927866, ""turnover"": 106.03725147385575, ""var_95"": -0.006168583135270417, ""volatility"": 0.18961266957961817, ""win_rate"": 0.5205479452054794, ""worst_period"": -0.024625470440135046}}",2026-08-11T08:15:26.416836+00:00
863,v7-0863-840c77e889,first_line,H1,H1_qh_conflict_veto,REJECTED_PRECHECK_DATA_LIMITATION,840c77e8895efdfa499872dece80a2f85d5ef018700752b48b6a7fdcfb5ad57c,"{""failure"": ""insufficient_qh_selection_coverage"", ""selection_qh_coverage"": 0.0, ""selection_qh_coverage_by_fold"": {""0"": 0.0, ""1"": 0.0, ""2"": 0.0}}",2026-08-11T08:15:26.445167+00:00
864,v7-0864-9a44da810c,first_line,H2,H2_high_dispersion_gate,REJECTED_INNER,9a44da810cb60bffe7dec7a1a416ac29356250f4841dc308984da4f6ab7aa931,"{""cost20_net"": -0.06768117733280743, ""delay1h_net"": -0.05025147776429639, ""evaluation"": {""annualized_return"": -0.11065409695050121, ""calmar"": -1.4925278370889632, ""cvar_95"": -0.00961138588158972, ""expectancy"": -0.00015100527575362174, ""funding_return"": -0.0004082810529834494, ""long_trades"": 2149, ""max_drawdown"": 0.0741387156746917, ""net_return"": -0.04475087937166944, ""profit_factor"": 0.8810729929115383, ""sharpe"": -0.9255333828583528, ""short_trades"": 2162, ""sortino"": -1.0665970579725659, ""trade_count"": 3542, ""transaction_cost"": 0.024285019680932603, ""turnover"": 48.570039361865206, ""var_95"": -0.007014582842530988, ""volatility"": 0.11910305272804458, ""win_rate"": 0.47017543859649125, ""worst_period"": -0.014023205182976891}, ""failures"": [""evaluation_net_not_improved"", ""material_sharpe_damage"", ""wrong_side_not_reduced"", ""insufficient_multi_fold_support"", ""negative_at_20bps"", ""negative_with_1h_delay""], ""fold_count"": 3, ""fold_positive_count"": 0, ""selection"": {""annualized_return"": 0.6557058614314772, ""calmar"": 9.37625656378943, ""cvar_95"": -0.010853005985551485, ""expectancy"": 0.0007128282433930826, ""funding_return"": -0.0028063556487246183, ""long_trades"": 4781, ""max_drawdown"": 0.06993258524556335, ""net_return"": 0.5742904742732451, ""profit_factor"": 1.6439657280688051, ""sharpe"": 2.87828234530324, ""short_trades"": 5141, ""sortino"": 4.594695216047651, ""trade_count"": 8247, ""transaction_cost"": 0.05028570977309092, ""turnover"": 100.57141954618186, ""var_95"": -0.005863052777101818, ""volatility"": 0.18078998348653236, ""win_rate"": 0.5251141552511416, ""worst_period"": -0.019901758468991823}, ""wrong_side_delta"": 137}",2026-08-11T08:15:30.148469+00:00
865,v7-0865-057ac2a6b8,first_line,H3,H3_weak_edge_veto,REJECTED_INNER,057ac2a6b8d6708a102589142d7ffff82395432f959517cdb29813f07bc098a4,"{""cost20_net"": -0.05956680396474312, ""delay1h_net"": -0.03967710242741729, ""evaluation"": {""annualized_return"": -0.08883190881251446, ""calmar"": -1.2907550130300953, ""cvar_95"": -0.009702821624875641, ""expectancy"": -0.00011747487036179677, ""funding_return"": -0.000466624440467771, ""long_trades"": 2141, ""max_drawdown"": 0.06882166477430776, ""net_return"": -0.03566748005267206, ""profit_factor"": 0.9083239603708892, ""sharpe"": -0.7080799960263345, ""short_trades"": 2101, ""sortino"": -0.833642220921603, ""trade_count"": 3546, ""transaction_cost"": 0.025083211496904758, ""turnover"": 50.16642299380951, ""var_95"": -0.007215293913964101, ""volatility"": 0.12111153520134499, ""win_rate"": 0.45614035087719296, ""worst_period"": -0.014122552677594897}, ""failures"": [""evaluation_net_not_improved"", ""wrong_side_not_reduced"", ""insufficient_multi_fold_support"", ""negative_at_20bps"", ""negative_with_1h_delay""], ""fold_count"": 3, ""fold_positive_count"": 0, ""selection"": {""annualized_return"": 0.6779064521456688, ""calmar"": 8.544820461621645, ""cvar_95"": -0.011443612102473733, ""expectancy"": 0.0007333056603408801, ""funding_return"": -0.003002918146472122, ""long_trades"": 4749, ""max_drawdown"": 0.07933536522978213, ""net_return"": 0.5932758363130699, ""profit_factor"": 1.621478374346852, ""sharpe"": 2.821710532349016, ""short_trades"": 5036, ""sortino"": 4.47113220442463, ""trade_count"": 7799, ""transaction_cost"": 0.05254343876141372, ""turnover"": 105.08687752282745, ""var_95"": -0.006168583135270417, ""volatility"": 0.1897122776811572, ""win_rate"": 0.5190258751902588, ""worst_period"": -0.024625470440135046}, ""wrong_side_delta"": 126}",2026-08-11T08:15:33.845958+00:00
866,v7-0866-cd39830f12,escalation,H4,H4_lagged_taker_buy,REJECTED_INNER,cd39830f12c1801aca1888ff592f1e0ace0ddee6e25c896366099d862493ad66,"{""baseline_evaluation"": {""annualized_return"": -0.08790945150691765, ""calmar"": -1.2738615968768157, ""cvar_95"": -0.009702821624875641, ""expectancy"": -0.00011609249634019842, ""funding_return"": -0.0004161617517901389, ""long_trades"": 2149, ""max_drawdown"": 0.06901020622840758, ""net_return"": -0.03528644702102568, ""profit_factor"": 0.9092003438570667, ""sharpe"": -0.6998735460929627, ""short_trades"": 2162, ""sortino"": -0.8160069725654113, ""trade_count"": 3235, ""transaction_cost"": 0.025255265267191608, ""turnover"": 50.510530534383214, ""var_95"": -0.007215293913964101, ""volatility"": 0.12108976371724157, ""win_rate"": 0.4666666666666667, ""worst_period"": -0.014122552677594897}, ""candidate_evaluation"": {""annualized_return"": -0.0983312414786397, ""calmar"": -1.1826101047235247, ""cvar_95"": -0.009701182314077423, ""expectancy"": -0.0001311997548232923, ""funding_return"": -9.281517870716799e-05, ""long_trades"": 1882, ""max_drawdown"": 0.08314764188627322, ""net_return"": -0.03960505640892065, ""profit_factor"": 0.8970987959099338, ""sharpe"": -0.7654295990869858, ""short_trades"": 1875, ""sortino"": -0.9096728197670199, ""trade_count"": 3135, ""transaction_cost"": 0.020353494689056652, ""turnover"": 40.7069893781133, ""var_95"": -0.006943683063106523, ""volatility"": 0.12512688447800555, ""win_rate"": 0.47368421052631576, ""worst_period"": -0.014879416648933637}, ""candidate_selection"": {""annualized_return"": 0.7043181531622693, ""calmar"": 12.818912732148597, ""cvar_95"": -0.009237819054099808, ""expectancy"": 0.0007512158353729868, ""funding_return"": -0.002019577508499073, ""long_trades"": 4122, ""max_drawdown"": 0.054943673295778615, ""net_return"": 0.6158297608212928, ""profit_factor"": 1.7491742419099885, ""sharpe"": 3.116634952626546, ""short_trades"": 4488, ""sortino"": 5.56268587236791, ""trade_count"": 7000, ""transaction_cost"": 0.04021187995515714, ""turnover"": 80.42375991031427, ""var_95"": -0.005034884367465597, ""volatility"": 0.1759550182032472, ""win_rate"": 0.5251141552511416, ""worst_period"": -0.019437407006845785}, ""cost20"": {""annualized_return"": -0.14414262374851183, ""calmar"": -1.5683064995390714, ""cvar_95"": -0.00983563161190784, ""expectancy"": -0.0002026039722275207, ""funding_return"": -9.277444171131626e-05, ""long_trades"": 1882, ""max_drawdown"": 0.09190972797146199, ""net_return"": -0.05895852446836314, ""profit_factor"": 0.8459940284308479, ""sharpe"": -1.1814135831612376, ""short_trades"": 1875, ""sortino"": -1.3890739013249003, ""trade_count"": 3163, ""transaction_cost"": 0.040710169333852714, ""turnover"": 40.710169333852704, ""var_95"": -0.007094557343883819, ""volatility"": 0.1251897742112762, ""win_rate"": 0.4666666666666667, ""worst_period"": -0.015027022912908113}, ""delay1h"": {""annualized_return"": -0.1221211803353629, ""calmar"": -1.4899457470376951, ""cvar_95"": -0.009415855104166268, ""expectancy"": -0.00017016201219318091, ""funding_return"": -9.607726960227111e-05, ""long_trades"": 1882, ""max_drawdown"": 0.08196350811978477, ""net_return"": -0.049578533955863535, ""profit_factor"": 0.8603322755654375, ""sharpe"": -1.1284270587369853, ""short_trades"": 1875, ""sortino"": -1.2320146194755344, ""trade_count"": 3115, ""transaction_cost"": 0.02040299644419847, ""turnover"": 40.80599288839693, ""var_95"": -0.0063595184677148605, ""volatility"": 0.11008090238464847, ""win_rate"": 0.4666666666666667, ""worst_period"": -0.014335316463101315}, ""factor_admitted"": false, ""fold_positive_count"": 1, ""promotion_failures"": [""evaluation_net_not_improved"", ""material_sharpe_damage"", ""material_drawdown_damage"", ""insufficient_multi_fold_support"", ""negative_at_20bps"", ""negative_with_1h_delay"", ""factor_observatory_admission_failed""], ""significant_folds"": 2, ""stability_score"": 0.3333333333333333, ""wrong_side_delta"": -253}",2026-08-11T08:42:45.930649+00:00
867,v7-0867-81fbf30a0b,escalation,H6,H_basis_vol_reliability_1,REJECTED_INNER,81fbf30a0bcc595a7dce1a6669ac636e1f1333930742c39695e8a864e5cab162,"{""baseline_evaluation"": {""annualized_return"": -0.08790945150691765, ""calmar"": -1.2738615968768157, ""cvar_95"": -0.009702821624875641, ""expectancy"": -0.00011609249634019842, ""funding_return"": -0.0004161617517901389, ""long_trades"": 2149, ""max_drawdown"": 0.06901020622840758, ""net_return"": -0.03528644702102568, ""profit_factor"": 0.9092003438570667, ""sharpe"": -0.6998735460929627, ""short_trades"": 2162, ""sortino"": -0.8160069725654113, ""trade_count"": 3235, ""transaction_cost"": 0.025255265267191608, ""turnover"": 50.510530534383214, ""var_95"": -0.007215293913964101, ""volatility"": 0.12108976371724157, ""win_rate"": 0.4666666666666667, ""worst_period"": -0.014122552677594897}, ""candidate_evaluation"": {""annualized_return"": -0.004446598950670677, ""calmar"": -0.09142413982339098, ""cvar_95"": -0.006404600341523629, ""expectancy"": -1.5156261724575153e-06, ""funding_return"": -1.4901987617785186e-05, ""long_trades"": 2149, ""max_drawdown"": 0.04863703349312792, ""net_return"": -0.001738359390038191, ""profit_factor"": 0.9982826146214321, ""sharpe"": -0.013469741309172301, ""short_trades"": 2162, ""sortino"": -0.015787480353090178, ""trade_count"": 4367, ""transaction_cost"": 0.023362891371363353, ""turnover"": 46.72578274272671, ""var_95"": -0.004586016578550874, ""volatility"": 0.08214018966649134, ""win_rate"": 0.47017543859649125, ""worst_period"": -0.010344492245307065}, ""candidate_selection"": {""annualized_return"": 0.3136222985575654, ""calmar"": 4.891214224679674, ""cvar_95"": -0.006522203931034454, ""expectancy"": 0.0003796845866533266, ""funding_return"": -0.0030772807097645487, ""long_trades"": 4781, ""max_drawdown"": 0.06411951800743394, ""net_return"": 0.2782725437636613, ""profit_factor"": 1.5244041231831889, ""sharpe"": 2.96935973118843, ""short_trades"": 5141, ""sortino"": 3.7921996201011527, ""trade_count"": 9993, ""transaction_cost"": 0.049355207676119464, ""turnover"": 98.71041535223894, ""var_95"": -0.003777308040803641, ""volatility"": 0.09334327038441935, ""win_rate"": 0.5418569254185692, ""worst_period"": -0.018765106741083826}, ""cost20"": {""annualized_return"": -0.062284193335964244, ""calmar"": -1.209429797342661, ""cvar_95"": -0.00653461180929592, ""expectancy"": -8.350062899853817e-05, ""funding_return"": -1.4901987617785186e-05, ""long_trades"": 2149, ""max_drawdown"": 0.05149880834159538, ""net_return"": -0.024794134425725756, ""profit_factor"": 0.9098754846142412, ""sharpe"": -0.7421526659473229, ""short_trades"": 2162, ""sortino"": -0.8650715300979022, ""trade_count"": 4367, ""transaction_cost"": 0.04672861717679634, ""turnover"": 46.728617176796334, ""var_95"": -0.004760571940614576, ""volatility"": 0.08213331564486952, ""win_rate"": 0.4456140350877193, ""worst_period"": -0.010556666837736227}, ""delay1h"": {""annualized_return"": -0.024097875117266465, ""calmar"": -0.48014483460543117, ""cvar_95"": -0.006264158645042351, ""expectancy"": -2.9184176158557566e-05, ""funding_return"": -1.4901987617785186e-05, ""long_trades"": 2149, ""max_drawdown"": 0.05018876259924651, ""net_return"": -0.009478083623515876, ""profit_factor"": 0.9659512737126058, ""sharpe"": -0.27022725463208724, ""short_trades"": 2162, ""sortino"": -0.31284269217492516, ""trade_count"": 4367, ""transaction_cost"": 0.023408108677247214, ""turnover"": 46.81621735449442, ""var_95"": -0.004557892699966321, ""volatility"": 0.07883900765210712, ""win_rate"": 0.4666666666666667, ""worst_period"": -0.010502713032913648}, ""factor_admitted"": false, ""fold_positive_count"": 2, ""forecast_pass_folds"": 0, ""promotion_failures"": [""basis_forecast_not_better_in_two_folds"", ""negative_at_20bps"", ""negative_with_1h_delay"", ""factor_observatory_admission_failed""], ""stability_score"": 0.0, ""wrong_side_count_delta"": 551, ""wrong_side_damage_baseline"": 1.2185413246413455, ""wrong_side_damage_candidate"": 0.9633885402044438, ""wrong_side_damage_delta_bps"": -2551.527844369017}",2026-08-11T09:11:39.709141+00:00
